EmployeeID,Age,Gender,JobRole,TenureYears,WorkHoursPerWeek,WFH_percent,SleepHours,OvertimeHours,MeetingsPerDay,BreaksPerDay,ManagerRating,StressScore,ProductivityScore,BurnoutRisk,WorkloadIndex,ProductivityBand,WFHCategory,AgeGroup
1,58,Male,Data Analyst,5.8,51.2,28.3,7.0,3.2,5,2,2.4,29.9,30.0,Low,54.400000000000006,low,medium WFH,51-60
2,48,Other,QA Tester,14.0,50.6,3.8,3.3,23.1,5,1,2.7,23.9,26.3,Low,73.7,low,low WFH,41-50
3,34,Male,Data Analyst,8.1,68.6,99.5,6.0,20.7,0,1,1.6,37.2,55.9,Medium,89.3,medium,high WFH,31-40
4,27,Male,Team Lead,14.1,47.1,48.2,3.3,22.2,6,0,1.7,75.2,27.8,Medium,69.3,low,medium WFH,21-30
5,40,M,QA Tester,3.3,48.4,75.6,3.8,22.0,3,3,3.0,24.8,78.2,Medium,70.4,high,high WFH,31-40
6,58,Female,Team Lead,10.9,46.1,45.2,7.8,14.1,2,4,1.5,57.2,97.5,Medium,60.2,high,medium WFH,51-60
7,38,F,Support Engineer,9.3,64.5,4.3,10.0,6.3,7,2,1.7,34.2,65.6,Medium,70.8,medium,low WFH,31-40
8,42,Male,Product Manager,11.1,55.1,31.0,4.0,16.1,1,1,1.8,84.6,38.8,High,71.2,low,medium WFH,41-50
9,30,Male,Business Analyst,7.7,76.9,32.0,6.6,28.7,8,4,1.4,10.6,87.5,Low,105.60000000000001,high,medium WFH,21-30
10,30,Other,QA Tester,10.0,38.8,83.8,10.3,17.7,7,4,3.6,30.1,88.2,Medium,56.5,high,high WFH,21-30
11,43,M,QA Tester,7.5,30.5,65.4,9.5,0.3,7,4,5.0,64.5,78.6,Low,30.8,high,high WFH,41-50
12,55,Male,Business Analyst,11.1,46.6,27.5,7.2,15.1,2,3,4.5,18.7,69.2,Medium,61.7,medium,medium WFH,51-60
13,59,M,Team Lead,4.9,58.9,96.8,9.2,29.8,3,1,1.2,52.0,89.4,Low,88.7,high,high WFH,51-60
14,43,Male,Support Engineer,13.4,72.3,32.2,7.2,2.2,1,2,2.7,49.3,33.1,Low,74.5,low,medium WFH,41-50
